# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "merged_peaks.saf" "-F" "SAF" "-p" "-o" "counts.txt" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R2.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/aH3K4me3_NATIVE_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_FIX_R1.target.filtered.sorted.bam" "../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_NATIVE_R1.target.filtered.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_FIX_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFLAG_NATIVE_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_FIX_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aFOXP3_NATIVE_R2.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/aH3K4me3_NATIVE_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_FIX_R1.target.filtered.sorted.bam	../../../../results_no_normalisation/02_alignment/bowtie2/target/IgG_NATIVE_R1.target.filtered.sorted.bam
peak11476	chr19	10295130	10297028	.	1899	27	17	52	77	29	17	47	70	96	42	69
peak11477	chr19	10315278	10318937	.	3660	127	115	138	286	122	54	68	62	574	144	126
peak11478	chr19	10319912	10321564	.	1653	16	20	30	96	13	15	14	22	30	24	30
peak11479	chr19	10323131	10324269	.	1139	14	4	16	10	10	10	22	10	28	2	21
peak11480	chr19	10329803	10330745	.	943	7	2	1	2	3	10	3	14	20	12	31
peak11481	chr19	10332268	10337780	.	5513	164	155	244	357	264	134	70	186	535	175	202
peak11482	chr19	10380183	10380718	.	536	25	25	18	66	54	10	2	15	146	20	26
peak11483	chr19	10381091	10383285	.	2195	7	15	14	42	16	18	15	6	40	32	16
peak11484	chr19	10389480	10390479	.	1000	6	5	10	10	8	0	0	4	22	2	9
peak11485	chr19	10392763	10394502	.	1740	26	20	26	54	22	2	8	28	46	9	14
peak11486	chr19	10395080	10396527	.	1448	21	14	38	116	34	19	30	52	24	28	76
peak11487	chr19	10398705	10399543	.	839	2	2	4	18	14	0	6	2	22	0	4
peak11488	chr19	10402188	10407207	.	5020	100	108	88	184	198	97	47	96	1228	132	112
peak11489	chr19	10407423	10408272	.	850	8	4	9	6	12	10	8	0	24	2	12
peak11490	chr19	10412539	10413392	.	854	6	9	1	8	11	12	2	10	22	0	0
peak11491	chr19	10415917	10423583	.	7667	202	210	192	398	339	151	174	204	2121	201	142
peak11492	chr19	10423824	10425421	.	1598	44	50	64	102	103	41	34	34	156	46	42
peak11493	chr19	10426113	10427181	.	1069	10	4	5	10	26	14	2	3	30	10	7
peak11494	chr19	10430151	10433087	.	2937	66	55	107	108	78	49	68	143	192	72	34
peak11495	chr19	10481255	10482850	.	1596	10	8	18	32	4	10	11	15	22	2	6
peak11496	chr19	10491434	10492365	.	932	10	4	50	47	14	9	9	52	15	25	42
peak11497	chr19	10499169	10500205	.	1037	16	6	13	14	14	8	2	6	22	0	10
peak11498	chr19	10500902	10503987	.	3086	108	140	209	230	134	42	52	136	2038	150	42
peak11499	chr19	10513118	10515605	.	2488	34	60	68	210	42	23	32	86	83	54	56
peak11500	chr19	10516847	10518436	.	1590	40	43	77	110	38	19	26	66	76	62	40
peak11501	chr19	10543019	10545882	.	2864	46	29	77	164	36	20	50	74	1184	83	75
peak11502	chr19	10554834	10555531	.	698	12	16	54	28	9	0	3	10	10	6	39
peak11503	chr19	10558527	10559854	.	1328	11	6	2	12	8	6	32	8	16	2	4
peak11504	chr19	10564794	10571195	.	6402	342	317	307	584	484	239	169	310	2855	402	208
peak11505	chr19	10579092	10580140	.	1049	0	2	8	12	11	6	2	6	20	13	6
peak11506	chr19	10601723	10605081	.	3359	94	70	101	146	116	51	54	28	746	126	50
peak11507	chr19	10625236	10626805	.	1570	6	12	57	18	9	14	10	53	22	14	17
peak11508	chr19	10652513	10655313	.	2801	195	287	190	330	256	90	114	197	1556	306	104
peak11509	chr19	10655502	10656232	.	731	7	0	0	6	8	5	4	0	30	6	0
peak11510	chr19	10696205	10696819	.	615	2	14	0	16	0	5	3	0	26	8	8
peak11511	chr19	10701243	10702046	.	804	34	28	28	80	56	16	20	34	256	42	20
peak11512	chr19	10717025	10719647	.	2623	122	75	167	228	99	42	124	168	2462	98	50
peak11513	chr19	10816718	10817997	.	1280	2	6	23	58	19	8	14	26	22	22	14
peak11514	chr19	10828879	10830274	.	1396	26	2	46	28	10	16	3	6	6	15	6
peak11515	chr19	10830943	10832674	.	1732	10	16	44	45	12	12	16	28	17	10	45
peak11516	chr19	10835345	10836769	.	1425	75	50	36	90	237	76	60	38	260	132	86
peak11517	chr19	10864607	10865695	.	1089	8	6	6	12	5	0	8	10	24	4	0
peak11518	chr19	10870073	10873347	.	3275	134	74	140	261	163	62	142	204	1154	134	62
peak11519	chr19	10920542	10922701	.	2160	15	20	54	145	27	24	19	60	54	28	75
peak11520	chr19	10924015	10924775	.	761	1	6	2	11	14	0	14	0	20	2	0
peak11521	chr19	10927449	10930498	.	3050	272	246	162	436	226	100	76	208	1656	350	194
peak11522	chr19	10958940	10962138	.	3199	147	138	204	208	176	66	224	410	1530	163	108
peak11523	chr19	10986174	10987328	.	1155	2	0	32	51	10	2	52	26	0	6	12
peak11524	chr19	10987516	10987978	.	463	1	4	16	80	0	2	21	36	4	2	0
peak11525	chr19	11026055	11026958	.	904	2	4	5	24	14	0	10	0	24	7	6
peak11526	chr19	11059429	11060424	.	996	12	2	64	45	10	4	22	36	14	14	47
peak11527	chr19	11075708	11077133	.	1426	8	4	44	2	4	4	2	6	0	22	14
peak11528	chr19	11089421	11091418	.	1998	64	71	89	131	206	68	30	46	536	58	80
peak11529	chr19	11154678	11156020	.	1343	34	48	24	80	54	18	14	36	408	32	60
peak11530	chr19	11174423	11175216	.	794	18	4	22	14	8	2	34	22	8	6	33
peak11531	chr19	11192734	11195025	.	2292	28	24	94	59	21	20	46	18	10	14	60
peak11532	chr19	11196714	11198537	.	1824	6	18	54	90	40	7	70	82	91	47	32
peak11533	chr19	11242471	11243896	.	1426	12	8	48	76	10	4	14	51	10	16	24
peak11534	chr19	11262040	11262506	.	467	6	0	12	44	4	0	7	15	62	7	2
peak11535	chr19	11276310	11277950	.	1641	10	4	46	36	3	8	21	34	10	6	14
peak11536	chr19	11338194	11340666	.	2473	9	42	44	34	34	23	38	24	136	14	18
peak11537	chr19	11342626	11343755	.	1130	4	5	6	18	9	0	2	2	32	10	4
peak11538	chr19	11345370	11345925	.	556	2	2	2	0	8	8	2	0	20	10	12
peak11539	chr19	11355019	11356441	.	1423	30	32	54	82	70	20	39	73	27	24	19
peak11540	chr19	11374222	11377599	.	3378	120	56	49	64	280	112	28	28	266	103	91
peak11541	chr19	11377965	11379404	.	1440	16	6	11	24	20	4	2	2	34	20	12
peak11542	chr19	11380546	11382456	.	1911	79	42	60	138	141	50	16	21	192	84	38
peak11543	chr19	11382823	11384588	.	1766	26	30	40	170	41	17	8	15	36	30	32
peak11544	chr19	11418423	11419728	.	1306	12	4	14	58	18	5	36	56	32	19	12
peak11545	chr19	11421960	11422897	.	938	15	10	36	48	52	13	12	26	38	33	37
peak11546	chr19	11434715	11438718	.	4004	56	104	96	94	78	72	30	8	100	81	63
peak11547	chr19	11446771	11448066	.	1296	2	11	18	31	23	6	24	42	10	2	6
peak11548	chr19	11456560	11457895	.	1336	4	20	20	25	13	6	33	20	26	2	5
peak11549	chr19	11479174	11481503	.	2330	36	22	130	140	27	10	40	100	32	24	44
peak11550	chr19	11481532	11484198	.	2667	66	70	158	206	132	56	72	140	156	48	126
peak11551	chr19	11496653	11498240	.	1588	6	1	28	20	2	2	11	2	30	10	15
peak11552	chr19	11503683	11504552	.	870	16	4	2	19	6	4	11	2	22	10	12
peak11553	chr19	11504987	11508652	.	3666	254	228	288	674	297	92	218	316	1480	375	127
peak11554	chr19	11521087	11521516	.	430	0	6	1	0	2	10	0	0	24	0	0
peak11555	chr19	11528034	11529462	.	1429	24	34	18	60	110	30	42	14	200	22	76
peak11556	chr19	11538842	11540764	.	1923	11	5	41	59	10	11	15	16	34	25	48
peak11557	chr19	11551242	11552277	.	1036	6	3	45	16	10	10	6	2	26	8	10
peak11558	chr19	11557966	11560307	.	2342	40	58	36	42	65	42	12	24	170	72	30
peak11559	chr19	11577923	11580053	.	2131	36	14	72	95	54	23	42	30	286	42	54
peak11560	chr19	11584360	11585788	.	1429	10	2	0	14	14	5	10	0	24	3	0
peak11561	chr19	11596861	11598129	.	1269	37	24	60	57	49	12	10	24	276	36	50
peak11562	chr19	11639601	11640368	.	768	3	5	12	26	13	0	2	20	38	12	10
peak11563	chr19	11694344	11694820	.	477	2	6	21	18	2	4	3	30	5	10	4
peak11564	chr19	11737738	11739304	.	1567	50	32	56	96	84	8	37	76	621	60	18
peak11565	chr19	11766825	11768175	.	1351	14	18	42	52	44	12	18	36	346	34	14
peak11566	chr19	11798694	11799172	.	479	8	24	30	14	10	7	4	32	58	13	4
peak11567	chr19	11813985	11815214	.	1230	32	18	29	74	46	22	20	42	262	28	20
peak11568	chr19	11848427	11849320	.	894	12	28	22	16	50	17	14	8	62	25	36
peak11569	chr19	11923012	11926240	.	3229	68	68	63	78	106	24	40	50	526	112	54
peak11570	chr19	11941135	11942018	.	884	10	10	22	32	4	0	18	28	2	6	0
peak11571	chr19	11964939	11965696	.	758	24	28	50	60	37	18	6	10	100	31	46
peak11572	chr19	11987662	11988596	.	935	24	24	26	10	43	33	14	12	130	14	32
peak11573	chr19	12035115	12036306	.	1192	18	24	56	62	26	20	18	14	40	30	68
peak11574	chr19	12052327	12052896	.	570	16	8	40	48	6	18	1	18	46	14	2
peak11575	chr19	12064406	12065434	.	1029	6	2	12	44	7	8	20	36	78	16	6
peak11576	chr19	12091798	12092859	.	1062	7	7	15	34	12	8	10	20	70	28	30
peak11577	chr19	12139662	12141341	.	1680	20	34	35	150	63	32	24	48	325	40	86
peak11578	chr19	12155663	12156936	.	1274	10	4	40	30	39	12	14	17	272	14	38
peak11579	chr19	12157148	12158768	.	1621	4	6	5	26	14	2	8	13	24	22	12
peak11580	chr19	12163044	12163657	.	614	31	15	40	37	41	5	22	18	380	36	32
peak11581	chr19	12292926	12295309	.	2384	36	58	34	130	126	35	26	52	660	100	50
peak11582	chr19	12332859	12333693	.	835	16	26	28	63	56	10	34	3	228	36	30
peak11583	chr19	12364607	12365676	.	1070	14	14	26	62	16	12	10	14	140	20	28
peak11584	chr19	12399990	12402042	.	2053	54	44	50	122	62	15	28	40	398	46	32
peak11585	chr19	12439962	12441115	.	1154	28	14	25	60	65	17	18	30	320	64	14
peak11586	chr19	12484141	12485029	.	889	27	30	28	52	14	6	18	22	140	7	14
peak11587	chr19	12550803	12552347	.	1545	67	46	54	73	146	32	36	36	498	56	78
peak11588	chr19	12554064	12555903	.	1840	14	13	16	64	20	12	18	42	38	19	17
peak11589	chr19	12557945	12558831	.	887	2	2	6	10	2	6	12	6	24	10	14
peak11590	chr19	12610089	12610536	.	448	1	16	22	7	18	5	0	4	24	15	1
peak11591	chr19	12610872	12612771	.	1900	24	48	28	8	62	52	15	13	328	26	35
peak11592	chr19	12665611	12672087	.	6477	88	74	114	189	172	62	60	48	774	120	120
peak11593	chr19	12672485	12675285	.	2801	8	4	24	24	22	12	7	20	78	17	8
peak11594	chr19	12675623	12676503	.	881	6	2	16	14	12	4	0	6	20	7	6
peak11595	chr19	12680784	12682606	.	1823	137	172	121	143	180	110	68	46	523	162	122
peak11596	chr19	12693777	12695312	.	1536	22	4	4	26	20	16	16	4	30	26	14
peak11597	chr19	12695628	12697757	.	2130	78	80	73	198	101	62	49	64	291	118	42
peak11598	chr19	12700700	12702207	.	1508	17	6	48	34	11	2	21	38	28	26	37
peak11599	chr19	12705746	12706591	.	846	6	4	3	14	2	5	1	2	24	6	1
peak11600	chr19	12718914	12720422	.	1509	4	26	4	30	10	16	10	2	52	13	10
peak11601	chr19	12720716	12723756	.	3041	66	69	166	207	80	50	102	184	1946	86	27
peak11602	chr19	12726388	12729649	.	3262	16	15	28	12	9	8	10	6	64	20	19
peak11603	chr19	12733185	12737922	.	4738	150	180	129	220	280	102	92	102	1338	160	120
peak11604	chr19	12743945	12744563	.	619	8	0	3	5	9	1	4	0	20	1	0
peak11605	chr19	12745462	12745946	.	485	2	10	2	25	0	4	12	2	20	4	7
peak11606	chr19	12749810	12750721	.	912	12	6	8	13	11	0	4	18	20	7	8
peak11607	chr19	12754459	12755225	.	767	2	6	28	27	16	4	9	24	26	4	14
peak11608	chr19	12757185	12758172	.	988	27	28	22	64	36	24	14	56	67	14	46
peak11609	chr19	12769629	12771188	.	1560	20	2	42	55	10	2	20	38	34	16	10
peak11610	chr19	12772574	12773836	.	1263	11	2	2	10	8	0	21	6	22	8	8
peak11611	chr19	12774757	12779675	.	4919	104	79	86	115	93	68	82	86	326	107	104
peak11612	chr19	12781518	12785049	.	3532	90	104	112	292	185	96	52	114	224	141	104
peak11613	chr19	12785653	12786971	.	1319	22	12	6	36	41	16	6	0	62	21	10
peak11614	chr19	12787183	12794667	.	7485	740	673	476	1038	1105	366	538	599	4433	661	398
peak11615	chr19	12795404	12796439	.	1036	20	4	8	14	16	16	6	14	24	14	12
peak11616	chr19	12797445	12798558	.	1114	20	2	8	10	6	8	0	4	26	8	6
peak11617	chr19	12799624	12800719	.	1096	6	2	4	20	14	10	18	1	22	4	14
peak11618	chr19	12800917	12802587	.	1671	26	21	25	88	84	36	16	26	394	22	6
peak11619	chr19	12803352	12805525	.	2174	20	30	40	39	16	20	27	22	52	25	16
peak11620	chr19	12806286	12807019	.	734	30	20	37	33	72	18	24	30	76	29	33
peak11621	chr19	12832654	12834506	.	1853	26	22	61	72	43	24	50	54	68	20	39
peak11622	chr19	12838117	12839176	.	1060	27	4	10	2	6	11	22	10	74	10	12
peak11623	chr19	12840220	12841511	.	1292	16	4	10	62	30	8	18	44	24	20	14
peak11624	chr19	12867329	12868299	.	971	22	6	26	26	44	11	10	12	56	65	28
peak11625	chr19	12873134	12874758	.	1625	22	20	84	162	33	20	48	72	63	26	63
peak11626	chr19	12880602	12882677	.	2076	34	46	38	40	102	36	8	14	356	27	42
peak11627	chr19	12883843	12887885	.	4043	86	98	78	157	68	74	54	83	190	75	40
peak11628	chr19	12890889	12892266	.	1378	37	18	34	59	45	28	15	10	294	33	32
peak11629	chr19	12918211	12921106	.	2896	104	109	94	208	159	76	41	74	70	95	64
peak11630	chr19	12932534	12933849	.	1316	26	26	16	26	31	20	29	8	148	30	47
peak11631	chr19	12934209	12935631	.	1423	2	3	2	10	6	12	2	0	38	4	14
peak11632	chr19	12936655	12939642	.	2988	100	132	86	262	198	46	58	100	1259	129	132
peak11633	chr19	12940809	12941955	.	1147	6	12	1	7	12	6	17	0	36	5	0
peak11634	chr19	12942988	12947489	.	4502	336	380	242	714	342	134	132	344	1596	320	282
peak11635	chr19	12948590	12949552	.	963	11	6	3	4	11	0	11	10	40	15	16
peak11636	chr19	12950868	12952018	.	1151	8	0	8	2	15	9	6	0	22	11	10
peak11637	chr19	12955345	12958019	.	2675	37	46	82	88	85	43	62	46	1064	48	26
peak11638	chr19	12965083	12965703	.	621	2	3	10	44	2	10	30	14	8	9	2
peak11639	chr19	12974684	12976435	.	1752	14	4	56	70	12	12	30	6	12	18	16
peak11640	chr19	12983284	12983846	.	563	12	2	22	49	8	2	16	40	8	11	2
peak11641	chr19	12985437	12986415	.	979	12	2	34	31	5	12	6	8	32	8	14
peak11642	chr19	12995021	12995587	.	567	15	6	52	32	9	4	18	32	20	10	10
peak11643	chr19	12995958	12997130	.	1173	23	15	46	80	15	18	28	44	36	28	16
peak11644	chr19	13001617	13003018	.	1402	6	10	86	90	12	3	4	28	16	12	36
peak11645	chr19	13005715	13007193	.	1479	20	6	22	40	2	4	10	5	26	0	2
peak11646	chr19	13011342	13013116	.	1775	25	14	44	80	14	6	13	44	24	22	27
peak11647	chr19	13055068	13055972	.	905	10	18	44	25	10	4	9	10	6	3	20
peak11648	chr19	13093930	13095898	.	1969	29	19	30	27	37	30	28	34	56	16	44
peak11649	chr19	13096206	13101341	.	5136	134	82	178	245	205	85	92	230	546	123	117
peak11650	chr19	13101854	13106018	.	4165	80	72	81	152	122	59	35	78	453	97	106
peak11651	chr19	13106358	13107917	.	1560	4	1	13	44	15	4	8	3	26	6	22
peak11652	chr19	13115978	13120540	.	4563	81	64	78	130	115	80	66	42	858	86	82
peak11653	chr19	13133302	13134526	.	1225	9	18	2	0	6	6	2	0	22	0	0
peak11654	chr19	13145617	13147697	.	2081	16	18	0	17	7	4	4	9	48	10	4
peak11655	chr19	13149500	13157103	.	7604	401	352	380	574	639	279	187	260	3680	379	398
peak11656	chr19	13157701	13161088	.	3388	49	27	13	33	40	44	4	6	70	26	6
peak11657	chr19	13162557	13165341	.	2785	90	78	112	101	226	83	44	78	252	66	50
peak11658	chr19	13167467	13168054	.	588	24	29	11	8	79	48	12	4	34	47	6
peak11659	chr19	13171649	13173270	.	1622	24	13	14	20	22	20	15	16	44	29	19
peak11660	chr19	13186622	13187199	.	578	2	2	12	48	12	10	14	34	4	5	4
peak11661	chr19	13206906	13210132	.	3227	76	104	176	308	77	36	107	170	244	107	115
peak11662	chr19	13505184	13506746	.	1563	14	18	62	100	6	8	56	48	31	10	14
peak11663	chr19	13732751	13734090	.	1340	8	15	10	8	12	4	12	4	26	6	6
peak11664	chr19	13747212	13748773	.	1562	47	54	58	78	158	23	20	44	432	38	50
peak11665	chr19	13759700	13761477	.	1778	0	2	4	2	6	4	19	2	30	18	0
peak11666	chr19	13762449	13763248	.	800	4	14	13	24	13	2	14	2	22	6	6
peak11667	chr19	13764329	13765515	.	1187	10	1	42	64	8	10	26	32	1060	4	8
peak11668	chr19	13770147	13771305	.	1159	2	2	18	8	2	8	7	2	22	0	8
peak11669	chr19	13772949	13773819	.	871	10	20	4	2	9	2	3	7	28	0	5
peak11670	chr19	13774265	13775984	.	1720	40	48	32	100	26	26	12	4	184	30	40
peak11671	chr19	13778475	13780064	.	1590	2	4	8	7	4	10	11	0	26	18	18
peak11672	chr19	13794530	13797200	.	2671	75	58	41	54	104	30	40	86	666	84	34
peak11673	chr19	13830147	13831104	.	958	31	9	46	84	58	6	24	62	27	30	25
peak11674	chr19	13833125	13834097	.	973	24	35	48	84	58	10	48	22	19	39	56
peak11675	chr19	13835892	13838432	.	2541	68	52	26	60	78	63	20	36	80	56	26
peak11676	chr19	13838611	13844635	.	6025	148	143	217	364	242	103	117	136	2370	169	125
peak11677	chr19	13846128	13848108	.	1981	86	84	50	196	217	57	39	28	74	104	68
peak11678	chr19	13863587	13866619	.	3033	40	25	85	130	23	20	44	70	372	14	8
peak11679	chr19	13871244	13873847	.	2604	7	0	30	58	24	9	16	24	56	24	8
peak11680	chr19	13876755	13877851	.	1097	16	6	21	27	6	2	10	14	24	12	12
peak11681	chr19	13905674	13907146	.	1473	66	53	78	178	98	35	50	52	400	98	22
peak11682	chr19	13929940	13931302	.	1363	23	8	70	41	10	6	38	12	20	2	30
peak11683	chr19	13932739	13933582	.	844	2	16	44	48	0	9	16	48	4	6	24
peak11684	chr19	13934114	13934551	.	438	8	14	42	37	2	3	6	0	0	4	15
peak11685	chr19	13951591	13954614	.	3024	132	67	82	233	171	72	75	98	676	92	142
peak11686	chr19	13959266	13960807	.	1542	22	35	33	57	12	8	15	13	40	9	53
peak11687	chr19	13961730	13964197	.	2468	45	46	170	252	52	16	98	148	50	55	74
peak11688	chr19	13977576	13980812	.	3237	16	28	116	134	22	35	88	44	72	42	28
peak11689	chr19	13985669	13987710	.	2042	92	32	68	63	110	36	28	12	6	64	44
peak11690	chr19	14005492	14007446	.	1955	270	229	210	300	227	106	162	300	1099	244	308
peak11691	chr19	14027646	14028744	.	1099	24	2	12	6	8	11	4	8	24	0	13
peak11692	chr19	14030662	14033366	.	2705	66	56	46	168	142	64	74	52	660	58	92
peak11693	chr19	14057127	14058558	.	1432	8	22	58	74	10	8	22	38	42	16	19
peak11694	chr19	14071587	14075861	.	4275	63	56	134	224	86	32	82	144	498	66	94
peak11695	chr19	14077020	14082451	.	5432	186	175	76	171	198	95	56	70	563	149	126
peak11696	chr19	14082898	14086124	.	3227	28	10	61	140	44	12	28	70	114	67	60
peak11697	chr19	14086365	14092486	.	6122	142	75	198	260	108	59	242	385	2362	151	60
peak11698	chr19	14113775	14114999	.	1225	15	1	20	23	18	0	12	2	34	16	10
peak11699	chr19	14115552	14118810	.	3259	56	38	53	183	70	56	44	72	686	42	62
peak11700	chr19	14119815	14121014	.	1200	18	2	6	18	1	26	0	2	24	15	2
peak11701	chr19	14121402	14123134	.	1733	14	6	0	2	2	0	6	0	40	11	5
peak11702	chr19	14128837	14130213	.	1377	12	3	0	10	8	2	4	6	28	15	10
peak11703	chr19	14134717	14138476	.	3760	160	202	142	350	362	156	117	182	958	298	332
peak11704	chr19	14149410	14150328	.	919	7	27	24	56	30	16	8	17	30	8	10
peak11705	chr19	14150739	14151584	.	846	12	6	36	47	7	9	6	60	8	15	46
peak11706	chr19	14164179	14165470	.	1292	15	4	46	70	10	8	6	8	9	2	21
peak11707	chr19	14167229	14168660	.	1432	18	2	21	14	14	2	4	0	26	4	14
peak11708	chr19	14205157	14206630	.	1474	18	14	56	42	16	4	30	66	184	10	14
peak11709	chr19	14247744	14249585	.	1842	31	14	40	66	16	10	16	24	58	3	54
peak11710	chr19	14277230	14278241	.	1012	12	14	20	60	12	4	20	26	24	16	28
peak11711	chr19	14363078	14364056	.	979	16	25	22	24	45	10	27	9	62	11	10
peak11712	chr19	14380525	14385253	.	4729	118	87	79	106	168	80	39	34	436	130	72
peak11713	chr19	14386442	14387172	.	731	6	0	14	7	15	2	0	0	20	10	6
peak11714	chr19	14405531	14407205	.	1675	19	8	54	85	32	12	30	18	28	20	26
peak11715	chr19	14407666	14409313	.	1648	12	14	50	14	9	12	4	8	18	12	42
peak11716	chr19	14410106	14411444	.	1339	18	12	39	74	8	18	16	12	24	13	38
peak11717	chr19	14417361	14420416	.	3056	139	128	178	234	315	112	74	114	463	154	148
peak11718	chr19	14427920	14430655	.	2736	14	7	18	40	6	6	22	12	38	8	16
peak11719	chr19	14432351	14436889	.	4539	44	22	62	129	43	28	50	49	658	37	54
peak11720	chr19	14439528	14441686	.	2159	20	24	38	18	24	28	35	16	74	24	64
peak11721	chr19	14471382	14473785	.	2404	48	52	100	170	37	33	54	57	68	16	76
peak11722	chr19	14473826	14474583	.	758	2	4	30	36	5	2	11	42	2	8	3
peak11723	chr19	14495600	14496860	.	1261	64	38	82	106	68	23	44	110	670	59	46
peak11724	chr19	14504925	14506066	.	1142	0	19	1	18	26	10	8	10	24	8	10
peak11725	chr19	14511613	14512729	.	1117	9	0	0	13	6	7	4	0	24	2	0
peak11726	chr19	14515437	14519489	.	4053	295	232	322	548	377	142	294	344	3294	399	160
peak11727	chr19	14528426	14530345	.	1920	120	146	52	246	201	87	68	76	306	148	206
peak11728	chr19	14561877	14564052	.	2176	8	12	49	113	36	6	20	44	31	28	58
peak11729	chr19	14564886	14566823	.	1938	24	15	50	71	22	11	40	19	25	33	58
peak11730	chr19	14568639	14569712	.	1074	6	14	4	1	8	6	5	4	22	6	14
peak11731	chr19	14571100	14572211	.	1112	42	21	20	122	51	20	28	11	144	30	58
peak11732	chr19	14689564	14690692	.	1129	73	30	105	82	58	39	63	190	396	52	38
peak11733	chr19	14776570	14777266	.	697	10	8	6	39	6	2	9	10	18	7	42
peak11734	chr19	14978763	14980190	.	1428	10	0	50	43	4	0	18	36	5	10	2
peak11735	chr19	15109242	15110860	.	1619	10	10	66	92	27	4	34	76	20	21	42
peak11736	chr19	15124459	15126263	.	1805	98	125	86	146	162	64	22	48	386	92	96
peak11737	chr19	15161036	15161790	.	755	4	13	20	44	2	14	20	32	14	4	34
peak11738	chr19	15177528	15178309	.	782	3	2	30	7	8	0	22	46	9	6	10
peak11739	chr19	15195692	15196433	.	742	4	6	18	98	24	3	28	46	2	10	31
peak11740	chr19	15197772	15198525	.	754	4	2	5	9	6	0	0	7	18	0	9
peak11741	chr19	15199558	15200413	.	856	2	14	34	83	16	16	26	48	12	16	26
peak11742	chr19	15223112	15224808	.	1697	12	40	57	98	48	11	16	16	40	28	20
peak11743	chr19	15231809	15232481	.	673	14	12	24	67	18	0	24	30	14	10	16
peak11744	chr19	15232927	15233982	.	1056	37	22	46	66	35	9	8	38	14	48	54
peak11745	chr19	15238463	15239260	.	798	6	2	46	34	2	6	12	8	4	2	18
peak11746	chr19	15242402	15243482	.	1081	22	2	10	24	4	2	25	6	28	0	24
peak11747	chr19	15330234	15333979	.	3746	60	54	44	94	57	54	78	100	1372	84	36
peak11748	chr19	15377203	15381594	.	4392	321	205	402	664	336	120	250	348	2336	416	80
peak11749	chr19	15398332	15399642	.	1311	7	0	37	64	6	7	34	34	34	22	70
peak11750	chr19	15417909	15419363	.	1455	56	64	54	101	82	48	28	22	429	76	27
peak11751	chr19	15424106	15426026	.	1921	8	12	86	128	11	10	50	42	44	22	16
peak11752	chr19	15426667	15430267	.	3601	30	48	105	128	28	10	37	56	104	25	74
peak11753	chr19	15430593	15435372	.	4780	30	42	48	112	52	18	69	38	342	42	49
peak11754	chr19	15438155	15440384	.	2230	24	13	70	64	15	24	24	16	28	6	34
peak11755	chr19	15448987	15450563	.	1577	12	48	46	66	21	12	58	72	108	45	60
peak11756	chr19	15456622	15457490	.	869	0	0	16	12	7	4	10	42	22	0	6
peak11757	chr19	15460525	15461504	.	980	13	11	3	8	23	10	5	2	32	2	0
peak11758	chr19	15462169	15463011	.	843	17	5	8	10	10	10	12	0	24	2	2
peak11759	chr19	15463621	15464950	.	1330	42	48	18	18	94	24	32	14	210	23	36
peak11760	chr19	15469433	15470091	.	659	9	11	32	18	41	13	14	18	30	10	6
peak11761	chr19	15508104	15509345	.	1242	18	3	48	20	14	9	38	30	36	26	12
peak11762	chr19	15551043	15551878	.	836	16	14	37	40	50	12	16	12	78	14	40
peak11763	chr19	15555753	15556470	.	718	10	19	30	21	31	12	14	6	46	31	20
peak11764	chr19	15836189	15837261	.	1073	40	56	50	81	87	36	20	36	178	64	56
